substance,interactant,niveau,description,conduite
DILTIAZEM,BÊTA-BLOQUANTS (SAUF ESMOLOL) (Y COMPRIS COLLYRES),AD,"Troubles de l'automatisme (bradycardie excessive, arrêt sinusal), troubles de la conduction sino-auriculaire et auriculo-ventriculaire et défaillance cardiaque.","Une telle association ne doit se faire que sous surveillance clinique et ECG étroite, en particulier chez le sujet âgé ou en début de traitement."
DILTIAZEM,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,AD,"Effet inotrope négatif avec risque de décompensation de l'insuffisance cardiaque, troubles de l'automatisme (bradycardie, arrêt sinusal) et troubles de la conduction sino-auriculaire et auriculo-ventriculaire.",
DILTIAZEM,BUSPIRONE,PE,"Augmentation des concentrations plasmatiques de la buspirone par diminution de son métabolisme hépatique par le diltiazem, avec augmentation de ses effets indésirables.",Surveillance clinique et adaptation de la posologie de la buspirone si nécessaire.
DILTIAZEM,DANTROLENE,CI,"Avec le dantrolène administré par perfusion : chez l'animal, des cas de fibrillations ventriculaires mortelles sont constamment observés lors de l'administration de vérapamil et de dantrolène par voie IV. L'association d'un antagoniste du calcium et de dantrolène est donc potentiellement dangereuse. Cependant, quelques patients ont reçu l'association nifédipine et dantrolène sans inconvénient.",
DILTIAZEM,DIHYDROERGOTAMINE,CI,Ergotisme avec possibilité de nécrose des extrémités (inhibition du métabolisme hépatique de l'alcaloïde de l'ergot de seigle).,
DILTIAZEM,DRONEDARONE,PE,"Risque de bradycardie ou de bloc auriculo-ventriculaire, notamment chez le sujet âgé. Par ailleurs, légère augmentation des concentrations de dronédarone par diminution de son métabolisme par l'antagoniste des canaux calciques.","Débuter le traitement par l'antagoniste calcique aux posologies minimales recommandées, et ajuster les doses en fonction de l'ECG."
DILTIAZEM,ERGOTAMINE,CI,Ergotisme avec possibilité de nécrose des extrémités (inhibition du métabolisme hépatique de l'alcaloïde de l'ergot de seigle).,
DILTIAZEM,ESMOLOL,PE,"Troubles de l'automatisme (bradycardie excessive, arrêt sinusal), troubles de la conduction sino-auriculaire et auriculo-ventriculaire et défaillance cardiaque.",ASDEC - PE Association déconseillée : - en cas d'altération de la fonction ventriculaire gauche. : - si la fonction ventriculaire gauche est normale. Surveillance clinique et ECG.
DILTIAZEM,IBRUTINIB,AD,Risque d'augmentation des concentrations plasmatiques d'ibrutinib par diminution de son métabolisme hépatique par le diltiazem.,"Si l'association ne peut être évitée, surveillance clinique étroite et réduction de la dose d'ibrutinib à 280 mg par jour pendant la durée de l'association."
DILTIAZEM,IMMUNOSUPPRESSEURS,PE,Augmentation des concentrations sanguines de l'immunosuppresseur par diminution de son métabolisme.,"Dosage des concentrations sanguines de l'immunosuppresseur, contrôle de la fonction rénale et adaptation de la posologie pendant l'association et après son arrêt."
DILTIAZEM,IVABRADINE,CI,"Augmentation des concentrations plasmatiques de l'ivabradine et de ses effets indésirables, notamment cardiaques (inhibition de son métabolisme hépatique par le diltiazem), qui s'ajoutent aux effets bradycardisants de ces substances.",
DILTIAZEM,LOMITAPIDE,CI,"Augmentation des concentrations de lomitapide, avec risque d'hépatotoxicité.",
DILTIAZEM,MIDAZOLAM,PE,"Augmentation des concentrations plasmatiques de midazolam par diminution de son métabolisme hépatique, avec majoration de la sédation.",Surveillance clinique et réduction de la posologie pendant le traitement par le diltiazem.
DILTIAZEM,NALOXEGOL,PE,Augmentation des concentrations plasmatiques de naloxegol par le diltiazem.,Adaptation posologique pendant l'association.
DILTIAZEM,NIFEDIPINE,CI,"Augmentation importantes des concentrations de nifédipine par diminution de son métabolisme hépatique par le diltiazem, avec risque d'hypotension sévère.",
DILTIAZEM,OLAPARIB,AD,Augmentation des concentrations plasmatiques d'olaparib par le diltiazem.,"Si l'association ne peut être évitée, limiter la dose d'olaparib à 200 mg deux fois par jour."
DILTIAZEM,PIMOZIDE,CI,"Risque majoré de troubles du rythme ventriculaire, notamment de torsades de pointes.",
DILTIAZEM,SIMVASTATINE,PE,"Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, par diminution du métabolisme hépatique de l'hypocholestérolémiant.","Ne pas dépasser la posologie de 20 mg/jour de simvastatine. Si l'objectif thérapeutique n'est pas atteint à cette posologie, utiliser une autre statine non concernée par ce type d'interaction."
DILTIAZEM,TAMSULOSINE,PE,"Risque de majoration des effets indésirables de la tamsulosine, par inhibition de son métabolisme hépatique.","Surveillance clinique et adaptation de la posologie de la tamsulosine pensant le traitement par l'inhibiteur enzymatique et après son arrêt, le cas échéant."
DILTIAZEM,TICAGRELOR,APEC,Risque d'augmentation des concentrations plasmatiques de ticagrelor par diminution de son métabolisme hépatique.,
DILTIAZEM,TOLVAPTAN,PE,"Augmentation des concentrations de tolvaptan, avec risque de majoration importante des effets indésirables, notamment diurèse importante, déshydratation, insuffisance rénale aiguë.",Réduire la posologie de tolvaptan de moitié.
DILTIAZEM,VÉNÉTOCLAX,PE,Risque d'augmentation des effets indésirables du vénétoclax par diminution de son métabolisme hépatique.,"Surveillance clinique et biologique régulière, notamment hématologique, et adaptation de la posologie du vénétoclax."
DIMÉTHYLE ( FUMARATE DE),VACCINS VIVANTS ATTÉNUÉS,APEC,Possible augmentation du risque infectieux.,
DIPROPHYLLINE,PROBENECIDE,PE,Risque de surdosage par augmentation des concentrations plasmatiques de diprophylline (inhibition de sa sécrétion tubulaire rénale).,Réduire la posologie de diprophylline pendant le traitement par le probénécide.
DIPYRIDAMOLE,THÉINE,PE,Avec le dipyridamole par voie injectable : réduction de l'effet vasodilatateur du dipyridamole par la théine.,Eviter la consommation de produits à base de théine dans les 24 heures qui précèdent une imagerie myocardique avec le dipyridamole.
DIPYRIDAMOLE,BÊTA-BLOQUANTS (SAUF ESMOLOL) (Y COMPRIS COLLYRES),APEC,Avec le dipyridamole par voie injectable : majoration de l'effet antihypertenseur.,
DIPYRIDAMOLE,CAFEINE,PE,Avec le dipyridamole par voie injectable : réduction de l'effet vasodilatateur du dipyridamole par la caféine.,"Interrompre un traitement à base de caféine au moins 5 jours avant une imagerie myocardique avec le dipyridamole et éviter la consommation de café, thé, chocolat ou cola dans les 24 heures qui précèdent le test."
DIPYRIDAMOLE,"THÉOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)",PE,Avec le dipyridamole par voie injectable : réduction de l'effet vasodilatateur du dipyridamole par la théophylline.,Interrompre un traitement par théophylline au moins 5 jours avant une imagerie myocardique avec le dipyridamole.
DISOPYRAMIDE,INDUCTEURS ENZYMATIQUES,PE,Risque de diminution des concentrations du disopyramide par l'inducteur.,Surveillance clinique et éventuellement adaptation de la posologie du disopyramide pendant l'association et 1 à 2 semaines après l'arrêt de l'inducteur.
DISOPYRAMIDE,INHIBITEURS PUISSANTS DU CYP3A4,PE,Risque d'augmentation des effets indésirables du disopyramide par diminution de son métabolisme.,Surveillance clinique et adaptation éventuelle de la posologie du disopyramide.
DISOPYRAMIDE,JOSAMYCINE,PE,"Risque de majoration des effets indésirables du disopyramide : hypoglycémies sévères, allongement de l'intervalle QT et troubles du rythme ventriculaire graves, notamment à type de torsades de pointes.","Surveillance clinique, biologique et électrocardiographique régulière."
DISOPYRAMIDE,OMBITASVIR + PARITAPRÉVIR,CI,Risque d'augmentation des concentrations plasmatiques de disopyramide et de ses effets indésirables.,
DISULFIRAME,ANTIVITAMINES K,PE,Augmentation de l'effet de l'antivitamine K et du risque hémorragique.,Contrôle plus fréquent de l'INR. Adaptation de la posologie de l'antivitamine K pendant le traitement par le disulfirame et 8 jours après son arrêt.
DISULFIRAME,COCAINE,APEC,"Augmentation des concentrations de cocaïne par diminution de son métabolisme par le disulfirame, avec risque majoré de survenue de torsades de pointes.",
DISULFIRAME,ISONIAZIDE,AD,Troubles du comportement et de la coordination.,
DISULFIRAME,METRONIDAZOLE,AD,"Risque d'épisodes de psychose aiguë ou d'état confusionnel, réversibles à l'arrêt de l'association.",
DISULFIRAME,"PHÉNYTOÏNE (ET, PAR EXTRAPOLATION, FOSPHÉNYTOÏNE)",AD,Augmentation importante et rapide des concentrations plasmatiques de phénytoïne avec signes toxiques (inhibition de son métabolisme).,"Si elle ne peut être évitée, contrôle clinique et des concentrations plasmatiques de phénytoïne pendant le traitement par le disulfirame et après son arrêt."
DIURÉTIQUES,ACIDE ACETYLSALICYLIQUE,PE,"Pour des doses anti-inflammatoires d'acide acétylsalicylique (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou antipyrétiques (>= 500 mg par prise et/ou < 3g par jour) : Insuffisance rénale aiguë chez le patient à risque (âgé, déshydraté, avec une fonction rénale altérée), par diminution de la filtration glomérulaire secondaire à une diminution de la synthèse des prostaglandines rénales. Par ailleurs, réduction de l'effet antihypertenseur.",Hydrater le malade et surveiller la fonction rénale en début de traitement et régulièrement pendant l'association.
DIURÉTIQUES,ANTI-INFLAMMATOIRES NON STÉROÏDIENS,PE,"Insuffisance rénale aiguë chez le patient à risque (âgé, déshydraté, sous diurétiques, avec une fonction rénale altérée), par diminution de la filtration glomérulaire secondaire à une diminution de la synthèse des prostaglandines rénales. Ces effets sont généralement réversibles. Par ailleurs, réduction de l'effet antihypertenseur.",Hydrater le malade et surveiller la fonction rénale en début de traitement et régulièrement pendant l'association.
DIURÉTIQUES,PRODUITS DE CONTRASTE IODÉS,PE,"En cas de déshydratation provoquée par les diurétiques, risque majoré d'insuffisance rénale fonctionnelle aiguë, en particulier lors d'utilisation de doses importantes de produits de contraste iodés.",Réhydratation avant administration du produit iodé.
DIURÉTIQUES DE L'ANSE,AMINOSIDES,PE,Augmentation des risques néphrotoxiques et ototoxiques de l'aminoside (insuffisance rénale fonctionnelle liée à la déshydratation entraînée par le diurétique).,"Association possible sous contrôle de l'état d'hydratation, des fonctions rénale et cochléovestibulaire, et éventuellement, des concentrations plasmatiques de l'aminoside."
DIURÉTIQUES DE L'ANSE,LITHIUM,AD,"Augmentation de la lithémie avec signes de surdosage en lithium, comme lors d'un régime désodé (diminution de l'excrétion urinaire du lithium).","Si l'association ne peut être évitée, surveillance stricte de la lithémie et adaptation de la posologie du lithium."
DIURÉTIQUES DE L'ANSE,METFORMINE,PE,"Acidose lactique due à la metformine, déclenchée par une éventuelle insuffisance rénale fonctionnelle, liée aux diurétiques de l'anse.","Ne pas utiliser la metformine lorsque la créatininémie dépasse 15 mg/l (135 µmol/l) chez l'homme, et 12 mg/l (110 µmol/l) chez la femme."
DIURÉTIQUES DE L'ANSE,ORGANOPLATINES,APEC,Risque d'addition des effets ototoxiques et/ou néphrotoxiques.,
DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS),AUTRES DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS),CI,"Hyperkaliémie potentiellement létale, notamment chez l'insuffisant rénal (addition des effets hyperkaliémiants).",Contre-indiqué sauf s'il existe une hypokaliémie.
DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS),ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II,PE,Risque d'hyperkaliémie (potentiellement létale) surtout en cas d'insuffisance rénale (addition des effets hyperkaliémiants).,"ASDEC - PE Association déconseillée : - si l'association est justifiée, contrôle strict de la kaliémie et de la fonction rénale. : - pour la spironolactone à des doses comprises entre 12,5 mg et 50 mg/jour, et pour l'éplérénone utilisées dans le traitement de l'insuffisance cardiaque, ainsi qu'en cas d'hypokaliémie : contrôle strict de la kaliémie et de la fonction rénale."
DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS),CICLOSPORINE,AD,"Hyperkaliémie potentiellement létale, surtout lors d'une insuffisance rénale (addition des effets hyperkaliémiants).",
DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS),DIURÉTIQUES HYPOKALIÉMIANTS,PE,"L'association rationnelle, utile pour certains patients, n'exclut pas la survenue d'hypokaliémie ou, en particulier chez l'insuffisant rénal et le diabétique, d'hyperkaliémie.","Surveiller la kaliémie, éventuellement l'ECG et, s'il y a lieu, reconsidérer le traitement."
DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS),INHIBITEURS DE L'ENZYME DE CONVERSION,PE,Risque d'hyperkaliémie (potentiellement létale) surtout en cas d'insuffisance rénale (addition des effets hyperkaliémiants).,"ASDEC - PE Association déconseillée : - si l'association est justifiée, contrôle strict de la kaliémie et de la fonction rénale. : - pour la spironolactone à des doses comprises entre 12,5 mg et 50 mg/jour, et pour l'éplérénone utilisées dans le traitement de l'insuffisance cardiaque, ainsi qu'en cas d'hypokaliémie : contrôle strict de la kaliémie et de la fonction rénale."
DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS),LITHIUM,PE,"Augmentation de la lithémie avec signes de surdosage en lithium, comme lors d'un régime désodé (diminution de l'excrétion urinaire du lithium).",Surveillance stricte de la lithémie et adaptation éventuelle de la posologie du lithium.
DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS),POTASSIUM,AD,"Pour une quantité de potassium > à 1 mmol/prise, hyperkaliémie potentiellement létale, notamment chez l'insuffisant rénal (addition des effets hyperkaliémiants).",Sauf en cas d'hypokaliémie.
DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS),TACROLIMUS,AD,"Hyperkaliémie potentiellement létale, surtout lors d'une insuffisance rénale (addition des effets hyperkaliémiants).",
